fx,fy,tx,ty,route_number,distance,duration
-77.04252452,38.92284916,-77.039511,38.865029,"72",6746.1,1747.4
-77.0178975,38.876697,-77.013769,38.886978,"73",6059.5,1580.5
-77.032427,38.8885525,-77.0444,38.9101,"74",2485.4,701.6
-77.049437,38.888255,-77.038252,38.915544,"75",7695.2,1987.8
-77.017247,38.890496,-77.0444,38.9101,"76",4245.1,1135.3
-77.049383,38.890539,-77.028694,38.888774,"77",8052.1,2021.6
-77.033234,38.892244,-77.038325,38.888097,"78",1495.5,423.3
-77.00069815,38.90731645,-77.032427,38.8885525,"79",3130.8,826.1
-77.00572729,38.87885438,-77.00225651,38.91121359,"80",3762,1017.2
-77.06341624,38.86331354,-77.00493,38.89696,"81",3852.4,1019.2
-77.04252452,38.92284916,-77.0178975,38.876697,"82",2297.6,711.2
-77.022684,38.917716,-77.02078789,38.87482077,"83",1681.5,574.8
-77.028694,38.888774,-77.0323,38.9086,"84",4480.9,1221.4
-77.027313,38.9055785,-77.038566,38.909858,"85",4299.9,1135
-77.02305436,38.8786936,-77.0172465,38.8904955,"86",8962.4,2453.3
-77.025236,38.88044,-77.03442693,38.90980063,"87",6596,1701.8
-77.0209448,38.87674677,-77.049437,38.888255,"88",5057.7,1379.9
-77.032096,38.9177645,-77.00572729,38.87885438,"89",2693.6,851.2
-77.034449,38.9190185,-77.0178975,38.876697,"90",1282.2,371.2
-77.03442693,38.90980063,-77.04252452,38.92284916,"91",1798.5,451.4
-77.038252,38.915544,-77.041829,38.911268,"92",3860.9,1005.2
-77.0325,38.9059,-77.026064,38.895914,"93",3135.7,877.9
-77.028694,38.888774,-77.025236,38.88044,"94",6016.3,1586.6
-77.0172465,38.8904955,-77.049437,38.888255,"95",5756.9,1466.7
-77.0172465,38.8904955,-77.04657,38.88412,"96",2109.2,558.2
-77.049383,38.890539,-77.03973234,38.89828295,"97",586.9,190.6
-77.049383,38.890539,-77.00069815,38.90731645,"98",1848.5,492.6
-77.049383,38.890539,-77.005483,38.905697,"99",1150.3,353.5
-77.00069815,38.90731645,-77.0178975,38.876697,"100",3120.7,903.3
-77.02305436,38.8786936,-77.00572729,38.87885438,"101",3809.4,995.4
-77.00572729,38.87885438,-77.0388,38.9319,"102",1692.8,471.4
-77.013814,38.863743,-77.0387,38.9121,"103",5765.1,1539.9
-77.026013,38.893028,-77.056887,38.905126,"104",5187,1387.9
-77.038252,38.915544,-77.013769,38.886978,"105",4439.9,1143.5
-77.071652,38.90774,-77.028694,38.888774,"106",1598.7,423.1
-77.028694,38.888774,-77.03338087,38.89646475,"107",7857.5,2075.9
-77.049437,38.888255,-77.026013,38.893028,"108",6929.7,1741.9
-77.049383,38.890539,-77.032427,38.8885525,"109",3476.4,952.7
-77.038566,38.909858,-77.002721,38.952369,"110",4759.1,1253.8
-77.012808,38.951596,-77.00225651,38.91121359,"111",5125.1,1379.8
-76.99602306,38.92240364,-77.006072,38.876893,"112",1243.9,465.9
-77.005483,38.905697,-77.04062,38.917761,"113",3176.4,890.3
-77.005483,38.905697,-77.032096,38.9177645,"114",1977.4,575.6
-76.99523449,38.88409515,-77.0494365,38.888255,"115",6773.4,1718.3
-77.025236,38.88044,-77.038566,38.909858,"116",5575.1,1304.2
-77.005649,38.902386,-77.019027,38.90304,"117",5747.7,1435.2
-77.01769933,38.88111673,-77.063586,38.90849,"118",4118.9,1080.7
-77.032096,38.9177645,-77.028694,38.888774,"119",3402.6,906.8
-77.032096,38.9177645,-77.033234,38.892244,"120",4999.9,1410.1
-77.027822,38.929464,-77.04478,38.908905,"121",4103.4,1078.6
-77.0388,38.9319,-77.071301,38.88992,"122",1221.3,344.9
-77.0178975,38.876697,-77.03338087,38.89646475,"123",6223.1,1564.9
-77.04062,38.917761,-77.038252,38.915544,"124",3734.6,1067.2
-77.038252,38.915544,-77.00069815,38.90731645,"125",2970.1,935.1
-77.032427,38.8885525,-76.996806,38.886952,"126",3174,883
-77.037413,38.879819,-77.000349,38.889955,"127",6862.2,1756.3
-77.048911,38.90088,-77.011616,38.897108,"128",3128.7,796.5
-77.017247,38.890496,-77.02305436,38.8786936,"129",457.5,134.8
-77.017247,38.890496,-77.01597,38.917622,"130",3679.3,975.1
-77.041829,38.911268,-77.00572729,38.87885438,"131",3481.1,930.4
-76.99591577,38.89484064,-77.032096,38.9177645,"132",4334.4,1316.4
-77.01769933,38.88111673,-77.03442693,38.90980063,"133",3452.3,938.7
-77.06714,38.896553,-77.02277,38.90864,"134",1789.7,465.5
-77.04252452,38.92284916,-77.034449,38.9190185,"135",3550.6,953.8
-77.04252452,38.92284916,-77.071652,38.90774,"136",5804.7,1538.3
-77.03442693,38.90980063,-77.06269,38.90375,"137",5027.1,1337.2
-77.032008,38.913046,-77.049383,38.890539,"138",4274.1,1128.3
-77.0323,38.9086,-77.013917,38.892275,"139",5622.9,1398.1
-77.0387,38.9121,-77.032427,38.888553,"140",1199.2,342.6
-77.071652,38.90774,-77.033234,38.892244,"141",3793.7,1011.9
-77.01770067,38.88637194,-77.034449,38.9190185,"142",2902.3,731.1
-77.056887,38.905126,-77.032096,38.9177645,"143",3740.6,993.1
-77.032427,38.8885525,-77.019027,38.90304,"144",3042.1,868.3
-77.032427,38.888553,-76.99523449,38.88409515,"145",3071.3,834.6
-77.049437,38.888255,-77.00572729,38.87885438,"146",4524.8,1287.7
-77.001955,38.887378,-77.005483,38.905697,"147",4723.2,1252.5
-77.013917,38.892275,-77.0178975,38.876697,"148",3219.7,853.3
-77.013769,38.886978,-77.070993,38.897315,"149",2635.7,746.3
-77.013769,38.886978,-77.03442693,38.90980063,"150",3600.7,950.4
-77.03973234,38.89828295,-77.032096,38.9177645,"151",4343.1,1176.5
-77.038325,38.888097,-77.051833,38.923389,"152",2338.7,608.7
-77.038325,38.888097,-77.032096,38.9177645,"153",2148.1,577.7
